timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769448024.9013186,DOWN,0,46,45,0,33,35,25,22,34,29,25,31,1.3125,1.3055555555555556,0.7590361445783133,16.76,23.49,-1.25
1769448026.9053056,DOWN,0,56,45,0,27,17,14,18,32,34,44,47,2.0,1.7777777777777777,1.32,26.76,23.49,1.75
1769448028.910514,DOWN,0,67,41,0,12,17,16,14,37,37,28,50,2.3870967741935485,1.6666666666666667,1.5416666666666667,37.760000000000005,19.49,9.75
1769448030.915228,DOWN,0,0,0,0,12,17,16,14,37,37,28,50,2.3870967741935485,1.6666666666666667,1.5416666666666667,-29.24,-21.51,9.75
1769448032.9201458,DOWN,0,0,0,0,25,10,42,27,35,37,32,33,1.0285714285714285,6.2727272727272725,0.9,-29.24,-21.51,7.75
1769448034.9249659,DOWN,0,45,35,0,15,27,29,28,62,22,25,26,1.4482758620689655,2.0357142857142856,0.9882352941176471,15.760000000000002,13.489999999999998,19.75
1769448036.9300132,DOWN,0,62,40,0,12,28,21,6,32,32,32,28,2.2857142857142856,0.9310344827586207,1.1428571428571428,32.760000000000005,18.49,-0.25
1769448038.9337523,DOWN,0,48,38,0,43,49,21,28,17,19,18,32,0.72,0.98,0.36363636363636365,18.76,16.49,-28.25
1769448040.939438,DOWN,0,0,0,0,43,49,21,28,17,19,18,32,0.72,0.98,0.36363636363636365,-29.24,-21.51,-28.25
1769448042.9438295,DOWN,0,0,0,0,43,49,21,28,17,19,18,32,0.72,0.98,0.36363636363636365,-29.24,-21.51,-28.25
1769448044.9501019,DOWN,0,0,0,0,23,20,36,12,27,30,29,31,1.163265306122449,2.2857142857142856,0.8260869565217391,-29.24,-21.51,-7.25
1769448046.9544218,DOWN,0,47,47,0,22,38,26,9,44,36,39,26,2.2222222222222223,0.8974358974358975,1.0810810810810811,17.76,25.49,15.75
1769448048.9595091,DOWN,5,0,0,0,18,26,20,31,30,30,30,36,1.1538461538461537,1.8888888888888888,0.7692307692307693,-29.24,-21.51,-4.25
1769448050.9648252,DOWN,0,0,0,0,18,26,20,31,30,30,30,36,1.1538461538461537,1.8888888888888888,0.7692307692307693,-29.24,-21.51,-4.25
1769448052.9692838,DOWN,0,0,0,0,30,47,11,28,28,23,27,30,1.275,0.8125,0.5862068965517241,-29.24,-21.51,-13.25
