timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769371711.6405218,RIGHT,5,0,0,0,14,44,21,24,41,19,26,33
1769371715.6560376,LEFT,0,0,0,0,30,62,23,16,29,26,34,33
1769371719.6710644,IDLE,2,0,0,0,30,62,23,16,29,26,34,33
1769371723.6900394,UP,0,0,0,0,30,62,23,16,29,26,34,33
1769371727.70679,UP,0,0,0,0,17,29,24,32,41,28,37,34
1769371731.7218575,DOWN,11,0,0,0,19,25,9,13,26,42,22,28
1769371735.7380974,UP,0,0,0,0,12,18,27,29,30,33,34,28
1769371739.7557087,LEFT,1,0,0,0,12,18,27,29,30,33,34,28
1769371743.7722857,CLICK,0,0,0,0,15,71,33,27,49,28,31,38
1769371747.7893069,DOWN,0,0,0,0,33,19,20,25,44,18,42,26
1769371751.8071077,DOWN,0,0,0,0,15,38,11,19,31,28,33,31
1769371755.823168,DOWN,0,0,0,0,9,44,24,7,31,23,28,32
1769371759.8390927,DOWN,2,0,0,0,9,44,24,7,31,23,28,32
1769371763.8551912,LEFT,3,0,0,0,29,50,23,30,42,21,42,34
1769371767.874848,RIGHT,0,0,0,0,29,50,23,30,42,21,42,34
1769371771.8916905,UP,0,0,0,0,26,32,54,22,27,28,38,38
1769371775.910209,RIGHT,0,0,0,0,26,32,54,22,27,28,38,38
1769371779.927126,DOWN,0,38,52,0,19,19,37,18,40,27,34,25
1769371783.9442096,RIGHT,4,0,0,0,19,19,37,18,40,27,34,25
1769371787.9632003,CLICK,0,0,0,0,40,48,18,8,31,30,35,25
1769371791.9828541,IDLE,0,0,0,0,7,56,45,19,32,32,29,33
1769371795.9984095,IDLE,0,0,0,0,15,42,12,8,28,32,48,27
1769371800.0164175,LEFT,0,0,0,0,34,29,29,22,40,34,33,35
1769371804.0301416,UP,0,0,0,0,8,43,31,3,24,34,29,39
1769371808.046598,UP,0,0,0,0,18,22,37,17,30,22,31,29
1769371812.0624242,CLICK,0,0,0,0,29,24,14,19,34,21,34,30
1769371816.081058,IDLE,0,0,0,0,13,41,7,41,43,27,27,46
1769371820.0996296,LEFT,3,0,0,0,34,22,16,17,21,27,21,22
1769371824.1149025,IDLE,7,0,0,0,18,22,23,10,36,39,35,27
1769371828.1324148,UP,3,0,0,0,4,18,6,32,30,25,26,27
1769371832.1487749,RIGHT,3,0,0,0,4,18,6,32,30,25,26,27
1769371836.164885,DOWN,0,0,0,0,10,28,23,14,38,36,41,28
1769371840.1841774,RIGHT,0,0,0,0,10,28,23,14,38,36,41,28
1769371844.2017732,CLICK,0,0,0,0,19,19,23,17,17,37,22,37
1769371848.2200272,UP,0,0,0,0,7,9,19,29,36,32,25,34
1769371852.235998,IDLE,0,34,47,0,21,34,46,13,31,25,30,32
1769371856.253116,CLICK,0,0,0,0,33,47,12,19,38,31,37,28
1769371860.2721183,DOWN,0,55,40,0,11,29,25,21,33,28,28,25
1769371864.2888756,LEFT,0,0,0,0,18,31,21,13,39,36,42,34
1769371868.3048024,RIGHT,0,0,0,0,12,30,39,10,20,38,31,32
1769371872.321942,RIGHT,0,0,0,0,21,19,17,15,30,23,23,32
1769371876.3388822,UP,0,0,0,0,21,19,17,15,30,23,23,32
1769371880.356779,CLICK,0,68,35,0,38,17,10,19,28,29,51,28
1769371884.3751724,RIGHT,0,0,0,0,23,52,42,12,35,24,41,40
1769371888.389359,DOWN,0,0,0,0,30,46,39,29,30,19,25,21
1769371892.406468,IDLE,0,0,0,0,27,26,31,6,26,32,40,25
1769371896.4228072,LEFT,7,0,0,0,30,43,33,36,50,42,18,25
1769371900.4387684,LEFT,0,0,0,0,30,43,33,36,50,42,18,25
1769371904.456995,UP,0,0,0,0,30,43,33,36,50,42,18,25
1769371908.4726586,RIGHT,0,80,32,0,11,30,8,9,29,17,26,18
1769371912.4887366,IDLE,6,0,0,0,11,30,8,9,29,17,26,18
1769371916.506228,IDLE,0,0,0,0,31,18,18,7,35,35,24,36
1769371920.523647,CLICK,4,0,0,0,25,28,21,21,23,30,29,22
1769371924.5407968,DOWN,0,0,0,0,17,26,7,16,27,29,39,32
1769371928.5591736,CLICK,0,0,0,0,26,16,31,22,50,29,30,24
1769371932.574833,CLICK,1,0,0,0,26,16,31,22,50,29,30,24
1769371936.593037,LEFT,0,0,0,0,26,16,31,22,50,29,30,24
1769371940.6114295,CLICK,0,0,0,0,31,31,20,13,38,24,40,23
1769371944.6309707,LEFT,0,0,0,0,23,8,17,20,23,26,45,30
1769371948.6505651,IDLE,7,0,0,0,33,33,25,4,27,25,37,42
