timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769446281.5037298,IDLE,0,44,40,0,20,49,30,49,30,47,30,31,0.9625,1.58,0.5968992248062015,-3.049999999999997,-2.5799999999999983,3.710000000000008
1769446283.5088382,IDLE,0,41,45,0,27,42,32,45,29,57,34,31,1.1025641025641026,1.7906976744186047,0.7166666666666667,-6.049999999999997,2.4200000000000017,12.710000000000008
1769446285.5143836,IDLE,0,53,42,0,35,23,52,9,53,28,34,37,1.3064516129032258,2.5416666666666665,0.9529411764705882,5.950000000000003,-0.5799999999999983,7.710000000000008
1769446287.5196068,IDLE,0,32,44,0,17,39,35,52,42,23,27,43,0.7386363636363636,2.175,0.5118110236220472,-15.049999999999997,1.4200000000000017,-8.289999999999992
1769446289.5264547,IDLE,0,32,44,0,17,39,35,52,42,23,27,43,0.7386363636363636,2.175,0.5118110236220472,-15.049999999999997,1.4200000000000017,-8.289999999999992
1769446291.5326204,IDLE,0,48,47,0,17,24,37,29,56,41,33,30,1.4477611940298507,2.64,1.065934065934066,0.9500000000000028,4.420000000000002,23.710000000000008
1769446293.5385718,IDLE,0,56,32,0,43,14,38,12,28,32,36,39,1.1764705882352942,3.3333333333333335,0.9230769230769231,8.950000000000003,-10.579999999999998,-13.289999999999992
1769446295.543811,IDLE,0,81,22,0,14,17,19,8,30,31,22,32,2.1785714285714284,1.5,1.3555555555555556,33.95,-20.58,-12.289999999999992
1769446297.5489492,IDLE,0,65,28,0,16,16,12,27,21,32,36,23,1.325,2.2941176470588234,0.9464285714285714,17.950000000000003,-14.579999999999998,-20.289999999999992
1769446299.5536115,IDLE,0,54,29,0,17,51,15,47,44,38,39,26,1.3015873015873016,1.1923076923076923,0.7192982456140351,6.950000000000003,-13.579999999999998,8.710000000000008
1769446253.73617,LEFT,0,38,49,0,40,47,43,46,43,39,27,53,0.9111111111111111,1.8541666666666667,0.5985401459854015,-9.049999999999997,6.420000000000002,8.710000000000008
1769446255.7399693,LEFT,0,38,44,0,29,15,46,39,34,51,31,24,0.9883720930232558,5.3125,0.8415841584158416,-9.049999999999997,1.4200000000000017,11.710000000000008
1769446257.7446246,LEFT,0,46,46,0,34,59,31,21,31,32,38,30,1.1886792452830188,0.8666666666666667,0.5625,-1.0499999999999972,3.4200000000000017,-10.289999999999992
1769446259.7496443,LEFT,0,41,45,0,23,41,24,36,37,45,16,35,1.3442622950819672,1.4285714285714286,0.803921568627451,-6.049999999999997,2.4200000000000017,8.710000000000008
1769446261.754842,LEFT,0,56,42,0,12,35,5,31,31,32,29,51,1.7027027027027026,1.0,0.875,8.950000000000003,-0.5799999999999983,-10.289999999999992
1769446263.7597752,LEFT,0,67,34,0,21,25,18,22,46,38,29,40,2.048780487804878,1.5384615384615385,1.2727272727272727,19.950000000000003,-8.579999999999998,10.710000000000008
1769446265.7664113,LEFT,0,66,27,0,40,27,20,19,42,45,27,26,2.175,1.3928571428571428,1.2985074626865671,18.950000000000003,-15.579999999999998,13.710000000000008
1769446267.7709053,LEFT,0,59,27,0,37,64,31,19,26,34,27,21,1.1764705882352942,0.7692307692307693,0.5217391304347826,11.950000000000003,-15.579999999999998,-13.289999999999992
1769446269.7756405,LEFT,0,59,28,0,76,14,25,25,25,38,43,50,1.2352941176470589,3.3333333333333335,0.9692307692307692,11.950000000000003,-14.579999999999998,-10.289999999999992
1769446271.7804084,LEFT,0,64,30,0,53,54,25,18,32,40,21,22,1.6363636363636365,0.7818181818181819,0.7346938775510204,16.950000000000003,-12.579999999999998,-1.289999999999992
1769446225.798158,RIGHT,0,66,29,0,36,38,23,23,54,20,22,38,1.574468085106383,1.1794871794871795,0.8705882352941177,18.950000000000003,-13.579999999999998,0.710000000000008
1769446227.8044965,RIGHT,0,65,28,0,52,39,25,18,50,44,32,30,2.1363636363636362,1.075,1.1325301204819278,17.950000000000003,-14.579999999999998,20.710000000000008
1769446229.810095,RIGHT,0,56,28,0,59,45,22,35,40,34,48,36,1.2758620689655173,1.2391304347826086,0.7184466019417476,8.950000000000003,-14.579999999999998,0.710000000000008
1769446231.8147721,RIGHT,0,57,35,0,16,28,44,19,40,31,17,38,1.109375,2.1724137931034484,0.7717391304347826,9.950000000000003,-7.579999999999998,-2.289999999999992
1769446233.8193214,RIGHT,0,58,40,0,19,24,37,10,29,33,38,32,1.2916666666666667,1.88,0.8611111111111112,10.950000000000003,-2.5799999999999983,-11.289999999999992
1769446235.827377,RIGHT,0,69,30,0,26,40,6,21,49,37,27,30,3.0714285714285716,0.6585365853658537,1.2647058823529411,21.950000000000003,-12.579999999999998,12.710000000000008
1769446237.833596,RIGHT,0,54,27,0,21,46,37,31,34,22,33,29,0.8115942028985508,1.446808510638298,0.48695652173913045,6.950000000000003,-15.579999999999998,-17.289999999999992
1769446239.8395689,RIGHT,0,42,36,0,20,14,47,33,41,31,38,24,0.8888888888888888,5.333333333333333,0.7578947368421053,-5.049999999999997,-6.579999999999998,-1.289999999999992
1769446241.845188,RIGHT,0,73,34,0,12,33,15,21,32,31,43,51,1.7027027027027026,1.0588235294117647,0.9,25.950000000000003,-8.579999999999998,-10.289999999999992
1769446243.85217,RIGHT,0,49,39,0,14,22,34,24,32,46,16,54,1.3220338983050848,2.5217391304347827,0.9629629629629629,1.9500000000000028,-3.5799999999999983,4.710000000000008
