timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769449290.3753605,DOWN,0,58,46,0,21,34,29,26,17,52,24,30,1.2321428571428572,1.5714285714285714,0.7666666666666667,8,-4,69
1769449292.3807402,DOWN,0,64,33,0,50,52,31,13,24,34,24,43,1.288888888888889,0.8301886792452831,0.5979381443298969,14,-17,58
1769449294.3855412,DOWN,0,63,30,0,27,54,11,35,41,39,28,30,1.702127659574468,0.8363636363636363,0.7920792079207921,13,-20,80
1769449296.3907566,DOWN,0,58,35,0,19,52,19,41,50,32,38,31,1.3442622950819672,1.1320754716981132,0.7256637168141593,8,-15,82
1769449298.395394,DOWN,0,45,41,0,21,51,55,20,43,43,34,28,1.131578947368421,1.4423076923076923,0.6771653543307087,-5,-9,86
1769449300.4003315,DOWN,0,55,43,0,15,50,36,34,25,40,34,26,0.9154929577464789,1.3725490196078431,0.5371900826446281,5,-7,65
1769449302.4055662,DOWN,0,50,46,0,29,59,47,23,26,29,22,37,0.7746478873239436,1.1666666666666667,0.4230769230769231,0,-4,55
1769449304.4093766,DOWN,0,72,31,0,26,57,15,26,48,35,31,34,1.9761904761904763,0.7068965517241379,0.8383838383838383,22,-19,83
1769449306.4139106,DOWN,0,40,38,0,26,60,67,20,42,26,34,33,0.7727272727272727,1.4262295081967213,0.4594594594594595,-10,-12,68
1769449308.4189043,DOWN,0,51,39,0,15,34,23,34,32,47,32,23,1.3620689655172413,1.6285714285714286,0.8586956521739131,1,-11,79
1769449346.62629,IDLE,0,58,34,0,77,39,18,24,35,39,43,37,1.7209302325581395,1.05,0.9024390243902439,8,-16,74
1769449348.6330822,IDLE,0,51,35,0,31,23,50,25,55,38,43,38,1.2236842105263157,3.125,0.9393939393939394,1,-15,93
1769449350.637743,IDLE,0,54,42,0,6,41,11,30,62,41,23,38,2.4523809523809526,0.9761904761904762,1.2409638554216869,4,-8,103
1769449352.6417215,IDLE,0,61,39,0,28,52,28,30,39,45,34,22,1.423728813559322,1.0943396226415094,0.7567567567567568,11,-11,84
1769449354.646739,IDLE,0,59,30,0,35,30,37,31,49,38,41,38,1.2608695652173914,2.193548387096774,0.8787878787878788,9,-20,87
1769449356.6494515,IDLE,0,58,26,0,27,60,45,18,30,56,35,23,1.34375,1.0327868852459017,0.6935483870967742,8,-24,86
1769449358.6558661,IDLE,0,38,35,0,22,61,59,18,48,36,34,24,1.0769230769230769,1.2419354838709677,0.60431654676259,-12,-15,84
1769449360.660068,IDLE,0,66,33,0,32,46,29,29,42,35,30,27,1.305084745762712,1.2340425531914894,0.7333333333333333,16,-17,77
1769449362.6649904,IDLE,0,52,35,0,24,37,28,34,31,25,25,30,0.8888888888888888,1.631578947368421,0.56,2,-15,56
1769449364.6713066,IDLE,0,62,29,0,30,56,33,22,54,31,29,45,1.5178571428571428,0.9649122807017544,0.7589285714285714,12,-21,85
1769449264.504857,LEFT,0,61,37,0,18,41,42,20,47,34,48,30,1.2857142857142858,1.4761904761904763,0.7788461538461539,11,-13,81
1769449266.5105803,LEFT,0,57,23,0,47,55,43,28,33,37,25,38,0.9722222222222222,1.2678571428571428,0.5511811023622047,7,-27,70
1769449268.5158541,LEFT,0,57,25,0,9,36,29,35,50,26,47,20,1.1692307692307693,1.7297297297297298,0.7524752475247525,7,-25,76
1769449270.521044,LEFT,0,55,32,0,43,39,31,37,43,41,24,25,1.2173913043478262,1.7,0.7777777777777778,5,-18,84
1769449272.5269613,LEFT,0,56,34,0,42,41,41,33,29,52,28,38,1.08,1.7619047619047619,0.6982758620689655,6,-16,81
1769449274.53245,LEFT,0,55,39,0,27,57,28,42,41,49,38,42,1.267605633802817,1.206896551724138,0.703125,5,-11,90
1769449276.5369804,LEFT,0,67,34,0,13,45,24,15,40,30,40,33,1.75,0.8478260869565217,0.8235294117647058,17,-16,70
1769449278.5427132,LEFT,0,36,47,0,23,36,71,48,72,25,38,38,0.8083333333333333,3.2162162162162162,0.6217948717948718,-14,-3,97
1769449280.5471156,LEFT,0,56,42,0,17,44,18,53,28,60,35,34,1.2222222222222223,1.5777777777777777,0.7586206896551724,6,-8,88
1769449282.5522168,LEFT,0,72,33,0,21,64,13,23,46,32,40,45,2.108108108108108,0.5538461538461539,0.7722772277227723,22,-17,78
1769449238.5611086,RIGHT,0,48,42,0,39,51,42,29,35,33,20,36,0.9444444444444444,1.3653846153846154,0.5528455284552846,-2,-8,68
1769449240.5662663,RIGHT,0,50,47,0,36,15,45,30,33,31,30,19,0.8421052631578947,4.6875,0.7032967032967034,0,-3,64
1769449242.572669,RIGHT,0,53,40,0,23,62,44,20,46,30,51,38,1.1692307692307693,1.0158730158730158,0.5984251968503937,3,-10,76
1769449244.5780568,RIGHT,0,59,37,0,47,74,27,21,53,31,24,32,1.7142857142857142,0.64,0.6829268292682927,9,-13,84
1769449246.5841122,RIGHT,0,53,30,0,16,44,36,44,48,33,36,24,1.0,1.7777777777777777,0.648,3,-20,81
1769449248.589726,RIGHT,0,50,41,0,27,62,40,19,42,31,35,43,1.2166666666666666,0.9365079365079365,0.5983606557377049,0,-9,73
1769449250.5953236,RIGHT,0,50,49,0,49,79,24,35,30,28,19,45,0.9666666666666667,0.7375,0.4172661870503597,0,-1,58
1769449252.6002467,RIGHT,0,48,45,0,30,46,34,12,27,12,35,37,0.8297872340425532,0.9787234042553191,0.41935483870967744,-2,-5,39
1769449254.6060383,RIGHT,0,37,52,0,16,71,10,51,42,35,29,35,1.2419354838709677,0.8472222222222222,0.5789473684210527,-13,2,77
1769449256.6112485,RIGHT,0,73,40,0,53,32,6,15,43,30,20,30,3.3181818181818183,0.6363636363636364,1.3518518518518519,23,-10,73
1769449318.9472923,UP,0,73,34,0,15,37,15,24,33,34,34,48,1.675,1.0263157894736843,0.8701298701298701,23,-16,67
1769449320.9530122,UP,0,49,30,0,30,20,46,30,35,31,30,31,0.8571428571428571,3.619047619047619,0.6804123711340206,-1,-20,66
1769449322.958524,UP,0,46,39,0,25,49,36,41,43,31,45,31,0.9487179487179487,1.54,0.5826771653543307,-4,-11,74
1769449324.963323,UP,0,58,47,0,5,43,14,34,71,40,25,30,2.2653061224489797,1.0909090909090908,1.2065217391304348,8,-3,111
1769449326.9675374,UP,0,49,39,0,17,46,52,37,29,26,46,40,0.6111111111111112,1.8936170212765957,0.40441176470588236,-1,-11,55
1769449328.973148,UP,0,53,37,0,41,32,34,53,26,40,36,35,0.75,2.6363636363636362,0.55,3,-13,66
1769449330.9806726,UP,0,56,34,0,30,27,43,19,25,39,27,30,1.0158730158730158,2.2142857142857144,0.7111111111111111,6,-16,64
1769449332.9843729,UP,0,56,32,0,33,22,35,30,51,48,31,34,1.5,2.8260869565217392,1.125,6,-18,99
1769449334.992427,UP,0,49,35,0,48,64,32,46,52,36,27,32,1.1139240506329113,1.2,0.6153846153846154,-1,-15,88
1769449336.997299,UP,0,55,43,0,29,45,16,39,39,48,30,28,1.5535714285714286,1.1956521739130435,0.8613861386138614,5,-7,87
