timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,norm_att,norm_med,norm_alpha,norm_beta
1769540256.337417,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540256.5387385,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540256.7398965,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540256.941346,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540257.1424394,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540257.3436852,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540257.544947,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540257.7458763,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540257.946633,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540258.1476398,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540258.3487053,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540258.5499587,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540258.7508595,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540258.9520783,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540259.1532679,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540259.3546002,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540259.5554495,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540259.7562811,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540259.957516,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540260.1584246,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540260.3593612,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540260.5605934,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540260.761463,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540260.962892,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540261.1642387,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540261.3651369,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540261.5663073,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540261.7673373,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540261.9686463,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540262.1693842,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540262.3707917,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540262.5714228,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540262.7724166,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540262.9737186,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540263.1744306,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540263.3753483,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540263.5768304,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540263.777577,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540263.9789002,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540264.1799839,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540264.381359,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540264.5829537,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540264.7842343,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540264.9855626,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540265.1866152,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540265.3879583,DOWN,3,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540265.5890596,DOWN,3,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540265.7902708,DOWN,3,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540265.9909866,DOWN,3,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540266.1920269,DOWN,3,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540266.392731,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540266.5940018,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540266.7954166,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540266.996582,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540267.1979709,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540267.3991938,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540267.600341,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540267.8012753,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540268.0021212,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540268.2036932,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540268.405025,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540268.6058266,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540268.8068638,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540269.00777,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540269.20904,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540269.4099097,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540269.6107662,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540269.8120768,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540270.0133457,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540270.2146473,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540270.415932,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540270.6169422,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540270.8178496,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540271.0194,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540271.2205362,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540271.4216096,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540271.6230693,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540271.824212,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540272.0256753,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540272.226828,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540272.4274085,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540272.6286309,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540272.8294518,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540273.0306501,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540273.2314239,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540273.432353,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540273.63332,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540273.8353217,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540274.0369656,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540274.238257,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540274.4393253,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540274.6409204,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540274.842141,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,32.8,0,0
1769540275.0436232,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,32.8,0,0
1769540275.2446923,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,32.8,0,0
1769540275.4462068,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,32.8,0,0
1769540275.6472135,DOWN,0,0,45,0,0,0,0,0,0,0,0,0,0,32.8,0,0
1769540275.8479424,DOWN,8,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540276.0490327,DOWN,8,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540276.2501202,DOWN,8,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540276.451806,DOWN,8,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540276.653107,DOWN,8,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540276.8543022,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540277.0553226,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540277.2559724,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540277.4570963,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540277.658396,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540277.8593504,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540278.0600014,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540278.2614605,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540278.4627147,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540278.6640017,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540278.8651128,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540279.066539,DOWN,2,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540279.2675369,DOWN,2,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540279.4688427,DOWN,2,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540279.6701288,DOWN,2,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540279.8712087,DOWN,2,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540280.0724943,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540280.2734575,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540280.474384,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540280.6754472,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540280.8767726,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540281.077945,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540281.279289,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540281.480522,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540281.681774,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540281.8831604,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540282.0842068,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540282.2855551,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540282.4866805,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540282.6882322,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540282.889653,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540283.0905974,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540283.2914653,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540283.4925306,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540283.6935203,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540283.8945837,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540284.095293,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540284.2967286,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540284.4979634,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540284.699403,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540284.9003782,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540285.1015954,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540285.3026175,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540285.5033937,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540285.7044299,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540285.905676,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540286.1068866,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540286.308119,DOWN,0,0,38,0,0,0,0,0,0,0,0,0,0,25.8,0,0
1769540286.5091276,DOWN,7,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540286.710305,DOWN,7,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540286.9116359,DOWN,7,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540287.112834,DOWN,7,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540287.3141067,DOWN,7,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540287.5153587,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540287.7166724,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540287.9177554,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540288.1190598,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540288.3202329,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540288.5209758,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540288.7221866,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540288.9234042,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540289.1244023,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540289.3254805,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540289.52634,DOWN,1,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540289.7277155,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540289.9286687,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
1769540290.129912,DOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.2,0,0
