timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769453689.5226996,IDLE,0,53,45,0,27,30,28,28,29,37,36,31,1.1578947368421053,1.8064516129032258,0.7586206896551724,0.4299999999999997,5.18,-6.030000000000001
1769453691.5293467,IDLE,0,50,47,0,6,42,18,18,34,16,19,36,1.3513513513513513,0.8372093023255814,0.6329113924050633,-2.5700000000000003,7.18,-22.03
1769453693.534118,IDLE,0,33,53,0,24,38,65,22,38,29,39,28,0.7613636363636364,2.230769230769231,0.5317460317460317,-19.57,13.18,-5.030000000000001
1769453695.540525,IDLE,0,40,52,0,26,35,47,52,47,31,23,45,0.78,2.75,0.5777777777777777,-12.57,12.18,5.969999999999999
1769453697.5485766,IDLE,0,32,56,0,39,45,56,22,34,50,45,36,1.0632911392405062,1.6956521739130435,0.6774193548387096,-20.57,16.18,11.969999999999999
1769453699.555808,IDLE,0,36,56,0,17,44,60,18,40,37,31,36,0.9746835443037974,1.7333333333333334,0.6260162601626016,-16.57,16.18,4.969999999999999
1769453701.561101,IDLE,0,42,58,0,22,21,18,47,38,25,36,28,0.9545454545454546,2.9545454545454546,0.7241379310344828,-10.57,18.18,-9.030000000000001
1769453703.5670705,IDLE,0,68,35,0,31,19,9,27,45,31,26,36,2.054054054054054,1.8,1.3571428571428572,15.43,-4.82,3.969999999999999
1769453705.5722299,IDLE,0,65,21,0,26,24,18,23,63,42,23,28,2.5,1.64,1.5909090909090908,12.43,-18.82,32.97
1769453707.5775256,IDLE,0,51,23,0,6,23,40,34,53,28,34,41,1.08,3.0833333333333335,0.826530612244898,-1.5700000000000003,-16.82,8.969999999999999
1769453709.5855646,IDLE,0,57,38,0,12,21,26,25,48,24,32,29,1.3846153846153846,2.3181818181818183,0.9863013698630136,4.43,-1.8200000000000003,-0.030000000000001137
1769453711.5916107,IDLE,0,68,33,0,21,29,29,16,19,39,40,40,1.2608695652173914,1.5,0.7733333333333333,15.43,-6.82,-14.030000000000001
1769453713.5976787,IDLE,0,41,40,0,14,35,47,29,26,36,35,25,0.8051948051948052,2.111111111111111,0.5535714285714286,-11.57,0.17999999999999972,-10.030000000000001
1769453715.6030085,IDLE,0,44,40,0,28,73,44,24,41,28,31,39,1.0,0.918918918918919,0.4859154929577465,-8.57,0.17999999999999972,-3.030000000000001
1769453717.6092794,IDLE,0,43,47,0,22,32,36,38,50,31,31,34,1.08,2.242424242424242,0.7570093457943925,-9.57,7.18,8.969999999999999
1769453719.6150172,IDLE,0,30,56,0,31,20,56,34,56,46,24,31,1.120879120879121,4.285714285714286,0.918918918918919,-22.57,16.18,29.97
1769453721.6217258,IDLE,0,33,63,0,21,13,71,24,26,32,28,33,0.6041666666666666,6.785714285714286,0.5321100917431193,-19.57,23.18,-14.030000000000001
1769453723.6274824,IDLE,0,65,53,0,29,73,14,20,49,41,33,27,2.5714285714285716,0.4594594594594595,0.8333333333333334,12.43,13.18,17.97
1769453725.632487,IDLE,0,47,47,0,28,29,20,43,23,35,37,32,0.90625,2.1,0.6236559139784946,-5.57,7.18,-14.030000000000001
1769453727.6379907,IDLE,0,38,45,0,19,44,30,65,32,38,31,25,0.7291666666666666,2.111111111111111,0.5,-14.57,5.18,-2.030000000000001
