timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769453129.0402977,RIGHT,0,49,40,0,43,36,47,31,48,33,45,27,1.0253164556962024,2.108108108108108,0.7043478260869566,-3.6899999999999977,2.460000000000001,-0.05000000000001137
1769453131.0462227,RIGHT,0,50,46,0,55,38,28,32,34,53,26,21,1.4262295081967213,1.5384615384615385,0.8787878787878788,-2.6899999999999977,8.46,5.949999999999989
1769453133.0514877,RIGHT,0,44,49,0,34,62,35,27,42,31,37,35,1.1587301587301588,0.9841269841269841,0.584,-8.689999999999998,11.46,-8.050000000000011
1769453135.058487,RIGHT,0,32,47,0,69,70,44,49,27,33,25,22,0.6382978723404256,1.3098591549295775,0.36585365853658536,-20.689999999999998,9.46,-21.05000000000001
1769453137.0640717,RIGHT,0,56,39,0,51,53,26,27,38,28,26,44,1.2222222222222223,0.9814814814814815,0.616822429906542,3.3100000000000023,1.4600000000000009,-15.050000000000011
1769453139.0701792,RIGHT,0,60,39,0,39,38,15,27,36,26,34,25,1.441860465116279,1.0769230769230769,0.7654320987654321,7.310000000000002,1.4600000000000009,-19.05000000000001
1769453141.0759141,RIGHT,0,54,37,0,17,19,40,21,41,32,44,34,1.1774193548387097,3.05,0.9012345679012346,1.3100000000000023,-0.5399999999999991,-8.050000000000011
1769453143.0829904,RIGHT,0,56,30,0,43,60,54,11,33,31,29,41,0.9696969696969697,1.0655737704918034,0.5079365079365079,3.3100000000000023,-7.539999999999999,-17.05000000000001
1769453145.0893323,RIGHT,0,57,30,0,13,37,45,28,40,31,30,35,0.9594594594594594,1.9210526315789473,0.6396396396396397,4.310000000000002,-7.539999999999999,-10.050000000000011
1769453147.0949357,RIGHT,0,64,31,0,45,60,17,45,48,34,24,25,1.3015873015873016,1.0163934426229508,0.6666666666666666,11.310000000000002,-6.539999999999999,0.9499999999999886
1769453149.1007566,RIGHT,0,68,29,0,33,51,29,19,34,37,32,35,1.4489795918367347,0.9230769230769231,0.71,15.310000000000002,-8.54,-10.050000000000011
1769453151.1068847,RIGHT,0,48,33,0,34,81,42,38,49,32,44,16,1.0,0.975609756097561,0.5,-4.689999999999998,-4.539999999999999,-0.05000000000001137
1769453153.1125894,RIGHT,0,74,29,0,32,50,17,13,45,31,25,28,2.4516129032258065,0.5882352941176471,0.9382716049382716,21.310000000000002,-8.54,-5.050000000000011
1769453155.1198761,RIGHT,0,52,32,0,33,44,24,64,35,42,13,29,0.8651685393258427,1.9555555555555555,0.5789473684210527,-0.6899999999999977,-5.539999999999999,-4.050000000000011
1769453157.1265414,RIGHT,0,56,28,0,23,27,48,40,35,34,37,33,0.7752808988764045,3.142857142857143,0.5948275862068966,3.3100000000000023,-9.54,-12.050000000000011
1769453159.1323156,RIGHT,17,0,0,0,41,53,41,12,37,32,36,25,1.2777777777777777,0.9814814814814815,0.6448598130841121,-52.69,-37.54,-12.050000000000011
1769453161.1366742,RIGHT,0,0,0,0,41,53,41,12,37,32,36,25,1.2777777777777777,0.9814814814814815,0.6448598130841121,-52.69,-37.54,-12.050000000000011
1769453163.1433096,RIGHT,0,0,0,0,18,26,30,29,36,44,18,25,1.3333333333333333,2.185185185185185,0.9302325581395349,-52.69,-37.54,-1.0500000000000114
1769453165.1491747,RIGHT,0,66,28,0,13,81,20,31,30,37,28,23,1.2884615384615385,0.6219512195121951,0.5037593984962406,13.310000000000002,-9.54,-14.050000000000011
1769453167.1543925,RIGHT,0,74,30,0,52,40,15,12,33,44,32,30,2.75,0.6585365853658537,1.1323529411764706,21.310000000000002,-7.539999999999999,-4.050000000000011
