timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,beta_alpha_ratio,alpha_theta_ratio,engagement_ratio,norm_att,norm_med,norm_beta
1769453269.553131,LEFT,0,52,46,0,27,37,49,4,47,36,31,26,1.537037037037037,1.394736842105263,0.9120879120879121,-12.459999999999994,22.08,11.049999999999997
1769453271.558302,LEFT,0,55,45,0,30,46,41,23,29,31,32,42,0.9230769230769231,1.3617021276595744,0.5405405405405406,-9.459999999999994,21.08,-11.950000000000003
1769453273.5645275,LEFT,0,62,36,0,33,47,8,26,48,34,28,28,2.342857142857143,0.7083333333333334,1.0,-2.4599999999999937,12.079999999999998,10.049999999999997
1769453275.571731,LEFT,0,44,40,0,19,25,82,11,47,37,35,37,0.8936170212765957,3.576923076923077,0.7058823529411765,-20.459999999999994,16.08,12.049999999999997
1769453277.5781395,LEFT,0,51,40,0,43,47,35,12,56,26,41,27,1.7083333333333333,0.9791666666666666,0.8631578947368421,-13.459999999999994,16.08,10.049999999999997
1769453279.5830367,LEFT,0,49,37,0,22,67,48,37,26,47,37,32,0.8488372093023255,1.25,0.477124183006536,-15.459999999999994,13.079999999999998,1.0499999999999972
1769453281.5888035,LEFT,0,40,46,0,22,47,60,23,34,31,38,40,0.7738095238095238,1.7291666666666667,0.4961832061068702,-24.459999999999994,22.08,-6.950000000000003
1769453283.5962617,LEFT,0,48,50,0,29,27,28,41,50,22,30,33,1.0285714285714285,2.4642857142857144,0.7422680412371134,-16.459999999999994,26.08,0.04999999999999716
1769453285.6021829,LEFT,0,36,47,0,17,17,83,42,57,23,35,28,0.6349206349206349,6.944444444444445,0.5594405594405595,-28.459999999999994,23.08,8.049999999999997
1769453287.6088953,LEFT,0,49,41,0,38,57,41,41,33,36,38,35,0.8313253012048193,1.4137931034482758,0.4928571428571429,-15.459999999999994,17.08,-2.950000000000003
1769453289.6145902,LEFT,0,46,41,0,49,44,52,18,42,29,35,25,1.0,1.5555555555555556,0.6173913043478261,-18.459999999999994,17.08,-0.9500000000000028
1769453291.6207278,LEFT,0,63,36,0,13,67,14,26,39,32,36,17,1.7317073170731707,0.5882352941176471,0.6574074074074074,-1.4599999999999937,12.079999999999998,-0.9500000000000028
1769453293.626226,LEFT,0,57,33,0,20,55,35,29,50,45,27,20,1.4615384615384615,1.1428571428571428,0.7916666666666666,-7.459999999999994,9.079999999999998,23.049999999999997
1769453295.632018,LEFT,0,70,30,0,36,53,19,10,43,39,26,31,2.7333333333333334,0.5370370370370371,0.9879518072289156,5.540000000000006,6.079999999999998,10.049999999999997
1769453297.6375356,LEFT,0,70,20,0,43,80,20,25,43,34,29,35,1.673913043478261,0.5555555555555556,0.6111111111111112,5.540000000000006,-3.9200000000000017,5.049999999999997
1769453299.6427617,LEFT,0,52,21,0,16,27,56,30,54,28,25,35,0.9425287356321839,3.0714285714285716,0.7192982456140351,-12.459999999999994,-2.9200000000000017,10.049999999999997
1769453301.647872,LEFT,0,71,24,0,36,24,31,17,37,33,24,39,1.4285714285714286,1.92,0.958904109589041,6.540000000000006,0.0799999999999983,-1.9500000000000028
1769453303.6544979,LEFT,0,75,22,0,46,69,20,15,57,34,39,34,2.5277777777777777,0.5,0.8666666666666667,10.540000000000006,-1.9200000000000017,19.049999999999997
1769453305.6607244,LEFT,0,69,15,0,28,20,17,36,40,36,33,28,1.4074074074074074,2.5238095238095237,1.027027027027027,4.540000000000006,-8.920000000000002,4.049999999999997
1769453307.665834,LEFT,0,56,28,0,20,48,44,8,32,26,30,38,1.0943396226415094,1.0612244897959184,0.5742574257425742,-8.459999999999994,4.079999999999998,-13.950000000000003
